Symbol,Stock Price,News Summary,Sentiment,Decision
AAPL,227.52000427246094," Apple (NasdaqGS:AAPL) Gains FDA Approval for OTC Hearing Aid, Boosting Innovation and Market Potential . Apple's OTC hearing aid was approved by the FDA for the first time in six years . Apple has been in the market for more than a decade, but has not yet received approval for the aid . The hearing aid is a hearing aid that can be used in a range of hearing aids that cost around $1,000 per day .","{'label': 'POSITIVE', 'score': 0.9954934120178223}",Don't buy the stock
AAPL,227.52000427246094," Tokyo Electron Readies India Foray as Modi Woos chipmakers . Chipmakers in India are keen to woo chipmakers from the West . Japan's chip makers are also keen to tap into the country's chip market . Japan has been in talks with India's top chip makers in recent years to boost its chip sales in India . India is a major source of chip makers for the world's biggest chip makers, including Japan's leading chip makers and Taiwan's leading semiconductor companies .","{'label': 'POSITIVE', 'score': 0.9984204769134521}",Don't buy the stock
AAPL,227.52000427246094," Apple (AAPL) Laps the Stock Market: Here's Why . Apple is one of the fastest-growing tech companies in the world . Apple's stock market has been a huge success in recent years . The company has been on the top of the Dow Jones and S&R charts for more than a decade . Apple has been the top-selling company in more than 30 years, according to Apple's most recent earnings data, which shows it outperforms in recent months .","{'label': 'POSITIVE', 'score': 0.9961166381835938}",Don't buy the stock
AAPL,227.52000427246094," Wall Street fears lower-than-anticipated iPhone demand as shipping times shrink . Wall Street also fears lower than-anticipated demand for the iPhone X . iPhone X is expected to be released on September 26, 2015, with an iPhone X expected to go on sale on September 25 . Apple's iPhone X has been a huge success in recent years, with sales of the device expected to hit $1.2 billion in the U.S. and $1 billion in sales in less than two","{'label': 'POSITIVE', 'score': 0.61176997423172}",Don't buy the stock
AAPL,227.52000427246094," Billionaire Cliff Asness says Apple Inc. (AAPL) is the best stock to buy right now . He says Apple is the only one of the best stocks to buy in the U.S. According to Asness, Apple's stock is worth $1.2 billion . Asness is also a billionaire who owns a company that makes $1 billion a year in Apple's retail portfolio . Apple is a multi-billionaire who owns more than 1,000 shares of","{'label': 'POSITIVE', 'score': 0.9990604519844055}",Don't buy the stock
AAPL,227.52000427246094," Magnificent Seven Stocks: Nvidia Stock Continues to Rally; Tesla Threatens Win Streak . Nvidia stock continues to rally; Tesla threatens to end seven-week streak of winning streak . Nvidia Stock continues to rise; Tesla shares continue to rise in the form of a single-digit digit digit digit . Nvidia, Tesla, Nvidia and other tech companies continue to outperform each other in recent weeks . The U.S. stock market has been a mixed mix of growth and value .","{'label': 'POSITIVE', 'score': 0.9542421102523804}",Don't buy the stock
AAPL,227.52000427246094," Meta's Orion AR glasses product Orion is the first of its kind . Meta Glasses are a form of wearable AR glasses developed by Meta Glass Glasses . Orion is a prototype of the Meta Meta Meta AR glasses, which has been in the works for a decade . Orion will be available for $99,000 in the U.S. and $199,000 for the next generation of AR glasses . For more information on Orion, visit Orion Glasses, go to the Meta Glass","{'label': 'NEGATIVE', 'score': 0.9511372447013855}",Don't buy the stock
AAPL,227.52000427246094," Apple can deliver upside to low iPhone 16 sales expectations, Evercore ISI says . Apple's iPhone 16 is expected to be released in September . iPhone 16 expected to launch on September 26, 2015, with a price tag of $649,000 . Apple has been criticized for being too secretive about its iPhone X, iPhone X 4S, 6S, 7S, 8S, 9S, 10S, 12S, S&R, 12C, 9C, C,","{'label': 'NEGATIVE', 'score': 0.9964472651481628}",Don't buy the stock
AAPL,227.52000427246094," Apple (NasdaqGS:AAPL) Gains FDA Approval for OTC Hearing Aid, Boosting Innovation and Market Potential . Apple's OTC hearing aid was approved by the FDA for the first time in six years . Apple has been in the market for more than a decade, but has not yet received approval for the aid . The hearing aid is a hearing aid that can be used in a range of hearing aids that cost around $1,000 per day .","{'label': 'POSITIVE', 'score': 0.9954934120178223}",Don't buy the stock
AAPL,227.52000427246094," Tokyo Electron Readies India Foray as Modi Woos chipmakers . Chipmakers in India are keen to woo chipmakers from the West . Japan's chip makers are also keen to tap into the country's chip market . Japan has been in talks with India's top chip makers in recent years to boost its chip sales in India . India is a major source of chip makers for the world's biggest chip makers, including Japan's leading chip makers and Taiwan's leading semiconductor companies .","{'label': 'POSITIVE', 'score': 0.9984204769134521}",Don't buy the stock
AAPL,227.52000427246094," Apple (AAPL) Laps the Stock Market: Here's Why . Apple is one of the fastest-growing tech companies in the world . Apple's stock market has been a huge success in recent years . The company has been on the top of the Dow Jones and S&R charts for more than a decade . Apple has been the top-selling company in more than 30 years, according to Apple's most recent earnings data, which shows it outperforms in recent months .","{'label': 'POSITIVE', 'score': 0.9961166381835938}",Don't buy the stock
AAPL,227.52000427246094," Wall Street fears lower-than-anticipated iPhone demand as shipping times shrink . Wall Street also fears lower than-anticipated demand for the iPhone X . iPhone X is expected to be released on September 26, 2015, with an iPhone X expected to go on sale on September 25 . Apple's iPhone X has been a huge success in recent years, with sales of the device expected to hit $1.2 billion in the U.S. and $1 billion in sales in less than two","{'label': 'POSITIVE', 'score': 0.61176997423172}",Don't buy the stock
AAPL,227.52000427246094," Billionaire Cliff Asness says Apple Inc. (AAPL) is the best stock to buy right now . He says Apple is the only one of the best stocks to buy in the U.S. According to Asness, Apple's stock is worth $1.2 billion . Asness is also a billionaire who owns a company that makes $1 billion a year in Apple's retail portfolio . Apple is a multi-billionaire who owns more than 1,000 shares of","{'label': 'POSITIVE', 'score': 0.9990604519844055}",Don't buy the stock
AAPL,227.52000427246094," Magnificent Seven Stocks: Nvidia Stock Continues to Rally; Tesla Threatens Win Streak . Nvidia stock continues to rally; Tesla threatens to end seven-week streak of winning streak . Nvidia Stock continues to rise; Tesla shares continue to rise in the form of a single-digit digit digit digit . Nvidia, Tesla, Nvidia and other tech companies continue to outperform each other in recent weeks . The U.S. stock market has been a mixed mix of growth and value .","{'label': 'POSITIVE', 'score': 0.9542421102523804}",Don't buy the stock
AAPL,227.52000427246094," Meta's Orion AR glasses product Orion is the first of its kind . Meta Glasses are a form of wearable AR glasses developed by Meta Glass Glasses . Orion is a prototype of the Meta Meta Meta AR glasses, which has been in the works for a decade . Orion will be available for $99,000 in the U.S. and $199,000 for the next generation of AR glasses . For more information on Orion, visit Orion Glasses, go to the Meta Glass","{'label': 'NEGATIVE', 'score': 0.9511372447013855}",Don't buy the stock
AAPL,227.52000427246094," Apple can deliver upside to low iPhone 16 sales expectations, Evercore ISI says . Apple's iPhone 16 is expected to be released in September . iPhone 16 expected to launch on September 26, 2015, with a price tag of $649,000 . Apple has been criticized for being too secretive about its iPhone X, iPhone X 4S, 6S, 7S, 8S, 9S, 10S, 12S, S&R, 12C, 9C, C,","{'label': 'NEGATIVE', 'score': 0.9964472651481628}",Don't buy the stock
MSFT,431.30999755859375," Microsoft Corporation (MSFT) Announces $1.3 billion AI investment in Mexico to Boost Connectivity and Support 30,000 SMBs over three years . Microsoft Corp. Announces AI investment to boost connectivity and support SMBs in Mexico . MSFT: Mexico will invest in AI to boost the country's infrastructure and support the SMBs . Microsoft Corporation: Mexico to invest in new AI technology to boost infrastructure, support SMB over the next three years. Microsoft Corp.: Mexico will","{'label': 'POSITIVE', 'score': 0.976428747177124}",Don't buy the stock
